X,Y,Z,t
0.81,-1.411,9.554,5
0.795,-1.435,9.56,5
0.806,-1.383,9.563,5
0.781,-1.384,9.552,5
0.8,-1.404,9.542,5
0.797,-1.407,9.564,5
0.789,-1.406,9.611,5
0.753,-1.402,9.579,5
0.695,-1.396,9.59,5
0.72,-1.376,9.541,5
0.726,-1.421,9.551,5
0.737,-1.446,9.577,5
0.73,-1.421,9.572,4
0.723,-1.397,9.572,5
0.744,-1.404,9.579,5
0.789,-1.383,9.52,5
0.805,-1.426,9.537,5
0.802,-1.42,9.559,5
0.801,-1.399,9.614,5
0.784,-1.397,9.548,5
0.759,-1.418,9.502,5
0.784,-1.443,9.553,5
0.762,-1.43,9.576,5
0.733,-1.432,9.58,5
0.747,-1.439,9.605,5
0.754,-1.449,9.544,5
0.771,-1.449,9.526,5
0.752,-1.44,9.555,5
0.782,-1.394,9.607,5
0.764,-1.361,9.554,5
0.78,-1.371,9.556,4
0.81,-1.41,9.545,5
0.825,-1.46,9.525,5
0.807,-1.427,9.558,5
0.782,-1.394,9.572,5
0.749,-1.389,9.564,5
0.749,-1.422,9.549,5
0.76,-1.459,9.548,5
0.748,-1.458,9.6,5
0.729,-1.431,9.6,5
0.708,-1.404,9.572,5
0.742,-1.424,9.555,5
0.767,-1.444,9.55,5
0.776,-1.437,9.534,5
0.771,-1.391,9.524,5
0.774,-1.375,9.511,5
0.769,-1.386,9.538,5
0.783,-1.402,9.518,5
0.768,-1.417,9.565,4
0.753,-1.4,9.612,5
0.722,-1.387,9.567,5
0.74,-1.406,9.555,5
0.789,-1.431,9.555,5
0.774,-1.443,9.559,5
0.761,-1.43,9.616,5
0.761,-1.406,9.599,5
0.773,-1.398,9.555,5
0.806,-1.413,9.534,5
0.824,-1.401,9.525,5
0.796,-1.391,9.563,5
0.786,-1.386,9.535,5
0.761,-1.383,9.561,5
0.773,-1.399,9.547,5
0.784,-1.413,9.511,5
0.77,-1.438,9.517,5
0.758,-1.426,9.593,5
0.727,-1.406,9.569,4
0.746,-1.426,9.575,5
0.784,-1.432,9.599,5
0.778,-1.435,9.544,5
0.763,-1.403,9.541,5
0.782,-1.38,9.561,5
0.802,-1.391,9.55,5
0.816,-1.407,9.538,5
0.823,-1.446,9.552,5
0.77,-1.368,9.614,5
0.758,-1.367,9.568,5
0.74,-1.417,9.544,5
0.761,-1.45,9.566,5
0.762,-1.449,9.548,5
0.736,-1.414,9.586,5
0.717,-1.407,9.569,5
0.738,-1.383,9.565,5
0.779,-1.411,9.521,4
0.809,-1.443,9.53,5
0.792,-1.432,9.534,5
0.788,-1.404,9.536,5
0.791,-1.382,9.543,5
0.824,-1.372,9.523,5
0.816,-1.395,9.598,5
0.819,-1.444,9.586,5
0.772,-1.404,9.568,5
0.75,-1.396,9.579,5
0.756,-1.447,9.559,5
0.772,-1.482,9.544,5
0.76,-1.474,9.572,5
0.761,-1.436,9.583,5
0.748,-1.382,9.554,5
0.798,-1.4,9.559,5
0.809,-1.437,9.499,5
0.829,-1.428,9.515,5
0.819,-1.416,9.543,4
0.792,-1.399,9.578,5
0.798,-1.353,9.529,5
0.802,-1.42,9.538,5
0.793,-1.439,9.561,5
0.758,-1.418,9.619,5
0.739,-1.419,9.607,5
0.725,-1.414,9.565,5
0.761,-1.422,9.569,5
0.774,-1.413,9.595,5
0.795,-1.455,9.585,5
0.75,-1.444,9.6,5
0.755,-1.391,9.572,5
0.761,-1.383,9.521,5
0.83,-1.432,9.54,5
0.796,-1.421,9.525,5
0.787,-1.377,9.557,5
0.735,-1.382,9.531,5
0.727,-1.396,9.535,4
0.762,-1.408,9.55,5
0.763,-1.44,9.591,5
0.759,-1.433,9.596,5
0.751,-1.434,9.638,5
0.768,-1.409,9.598,5
0.819,-1.426,9.59,5
0.817,-1.458,9.55,5
0.797,-1.42,9.551,5
0.791,-1.385,9.528,5
0.801,-1.386,9.542,5
0.819,-1.413,9.527,5
0.811,-1.406,9.529,5
0.804,-1.405,9.508,5
0.749,-1.412,9.537,5
0.753,-1.43,9.533,5
0.766,-1.452,9.577,5
0.777,-1.451,9.567,5
0.805,-1.429,9.613,4
0.773,-1.415,9.585,5
0.77,-1.374,9.567,5
0.809,-1.375,9.532,5
0.823,-1.401,9.546,5
0.813,-1.417,9.548,5
0.785,-1.412,9.578,5
0.777,-1.409,9.539,5
0.743,-1.402,9.514,5
0.759,-1.428,9.561,5
0.767,-1.436,9.56,5
0.734,-1.427,9.576,5
0.702,-1.399,9.601,5
0.728,-1.39,9.593,5
0.745,-1.424,9.558,5
0.771,-1.433,9.535,5
0.776,-1.423,9.586,5
0.716,-1.375,9.562,5
0.784,-1.388,9.519,4
0.814,-1.418,9.539,5
